algorithm,cities,best_length,runtime
Hill Climbing,10,290.3067737918129,0.0012227909173816442
Hill Climbing,10,290.3067737918129,0.001600167015567422
Hill Climbing,10,290.3067737918128,0.0012826670426875353
Hill Climbing,10,290.3067737918128,0.0012152499984949827
Hill Climbing,10,290.3067737918128,0.0011209170334041119
Hill Climbing,10,290.3067737918129,0.0010071250144392252
Hill Climbing,10,290.3067737918128,0.0015291250310838223
Hill Climbing,10,338.5548967143026,0.0016730409115552902
Hill Climbing,10,338.55489671430246,0.0018875830573961139
Hill Climbing,10,290.3067737918129,0.0017161669675260782
Genetic Algorithm,10,290.30677379181276,0.2774517919169739
Genetic Algorithm,10,290.30677379181276,0.26438945799600333
Genetic Algorithm,10,290.3067737918128,0.26517204102128744
Genetic Algorithm,10,290.30677379181276,0.26605441700667143
Genetic Algorithm,10,290.3067737918128,0.270601624972187
Genetic Algorithm,10,290.30677379181276,0.2696174159646034
Genetic Algorithm,10,290.30677379181276,0.26748470799066126
Genetic Algorithm,10,290.30677379181276,0.2684102919884026
Genetic Algorithm,10,290.30677379181276,0.2676245830953121
Genetic Algorithm,10,290.3067737918128,0.26904225000180304
Hill Climbing,20,473.814607399382,0.00822529208380729
Hill Climbing,20,470.76547944718277,0.0069246250204741955
Hill Climbing,20,422.94885301698855,0.009593875030986965
Hill Climbing,20,504.0230742824538,0.009287709021009505
Hill Climbing,20,466.65553358927144,0.009644625009968877
Hill Climbing,20,468.78817904215754,0.007105417083948851
Hill Climbing,20,453.9929040537391,0.009068832965567708
Hill Climbing,20,500.95936794853947,0.008683750056661665
Hill Climbing,20,422.9488530169885,0.01014224998652935
Hill Climbing,20,451.05675685550716,0.009145792108029127
Genetic Algorithm,20,444.53420266828044,0.45827791607007384
Genetic Algorithm,20,386.42968948346993,0.4546695000026375
Genetic Algorithm,20,389.1347553457029,0.45586395799182355
Genetic Algorithm,20,444.96906730764823,0.45573091704864055
Genetic Algorithm,20,388.08790934011984,0.4554610410705209
Genetic Algorithm,20,392.13960396903985,0.4685907500097528
Genetic Algorithm,20,388.19775804964974,0.4630593329202384
Genetic Algorithm,20,386.42968948346993,0.4545766250230372
Genetic Algorithm,20,386.42968948346993,0.45595470897387713
Genetic Algorithm,20,386.42968948346993,0.4621188750024885
Hill Climbing,30,679.0092461990869,0.06613841699436307
Hill Climbing,30,576.9744649013178,0.05216200009454042
Hill Climbing,30,579.1335552636475,0.04132395901251584
Hill Climbing,30,648.3788953037558,0.0430016660830006
Hill Climbing,30,527.3547634773032,0.03781491704285145
Hill Climbing,30,571.5395539124174,0.044831209001131356
Hill Climbing,30,585.4204711424406,0.05596333299763501
Hill Climbing,30,549.1145775176749,0.05186133401002735
Hill Climbing,30,518.5662094664743,0.04847350006457418
Hill Climbing,30,583.7287940728673,0.04774970898870379
Genetic Algorithm,30,607.934518043672,0.6701220410177484
Genetic Algorithm,30,607.7041623554218,0.6599225829122588
